2023-11-24 14:14:39,048 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-11-24 14:14:39,049 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-24 14:14:39,049 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-24 14:14:39,049 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-24 14:14:39,049 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-24 14:14:39,049 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-24 14:14:39,049 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-24 14:14:39,049 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-24 14:14:39,050 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-24 14:14:39,050 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-24 14:14:39,050 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-24 14:14:39,050 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-24 14:14:39,050 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-24 14:14:39,051 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-24 14:14:39,051 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-24 14:14:39,051 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-24 14:14:39,051 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-24 14:14:39,051 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-24 14:14:39,051 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-24 14:14:39,051 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-24 14:14:39,051 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-24 14:14:39,051 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-24 14:14:39,074 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-24 14:14:39,074 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-24 14:14:39,095 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-24 14:14:39,107 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-11-24 14:14:39,110 |OFBiz-batch-1        |DatabaseUtil                  |I| Reviewed 9 primary key fields from database.
2023-11-24 14:14:39,432 |OFBiz-batch-2        |DatabaseUtil                  |I| Reviewed 1708 primary key fields from database.
2023-11-24 14:14:39,451 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [DIFFICULTY_LEVEL] of table [public.QUESTION_MASTER] of entity [QuestionMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,453 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,453 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [IS_FLAGGED] of table [public.USER_ATTEMPT_ANSWER_MASTER] of entity [UserAttemptAnswerMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [NO_OF_QUESTIONS] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_WRONG] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_CORRECT] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_MASTER] of entity [UserAttemptMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [CORRECT_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [PERFORMANCE_ID] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [TOTAL_QUESTIONS_IN_THIS_TOPIC] of table [public.USER_ATTEMPT_TOPIC_MASTER] of entity [UserAttemptTopicMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,454 |OFBiz-batch-2        |DatabaseUtil                  |E| Column [MAX_SPLIT_ATTEMPTS] of table [public.USER_EXAM_MAPPING_MASTER] of entity [UserExamMappingMaster] is of type [int4] in the database, but is defined as type [INTEGER] in the entity definition.
2023-11-24 14:14:39,471 |main                 |ContainerLoader               |I| Started container delegator-container
2023-11-24 14:14:39,472 |main                 |ContainerLoader               |I| Starting container service-container
2023-11-24 14:14:39,472 |main                 |ContainerLoader               |I| Started container service-container
2023-11-24 14:14:39,472 |main                 |ContainerLoader               |I| Starting container catalina-container
2023-11-24 14:14:39,500 |kJoinPool-1-worker-4 |EntityEcaUtil                 |I| Loaded [2] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\accounting/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,500 |kJoinPool-1-worker-8 |EntityEcaUtil                 |I| Loaded [0] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\solr/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,500 |kJoinPool-1-worker-5 |EntityEcaUtil                 |I| Loaded [3] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\order/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,500 |kJoinPool-1-worker-3 |EntityEcaUtil                 |I| Loaded [14] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\product/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,500 |kJoinPool-1-worker-7 |EntityEcaUtil                 |I| Loaded [1] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\projectmgr/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,500 |kJoinPool-1-worker-6 |EntityEcaUtil                 |I| Loaded [15] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\lucene/entitydef/eecas_product.xml in loader main
2023-11-24 14:14:39,501 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [11] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\content/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,502 |kJoinPool-1-worker-2 |EntityEcaUtil                 |I| Loaded [4] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\workeffort/entitydef/eecas.xml in loader main
2023-11-24 14:14:39,572 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/groups_test.xml
2023-11-24 14:14:39,577 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/groups.xml
2023-11-24 14:14:39,580 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [2] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/service_groups.xml
2023-11-24 14:14:39,584 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/groups.xml
2023-11-24 14:14:39,587 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/groups.xml
2023-11-24 14:14:39,600 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/secas_cdyne.xml
2023-11-24 14:14:39,602 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [14] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/secas.xml
2023-11-24 14:14:39,602 |kJoinPool-1-worker-8 |ServiceEcaUtil                |I| Loaded [26] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/secas.xml
2023-11-24 14:14:39,604 |kJoinPool-1-worker-6 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/secas_test_se.xml
2023-11-24 14:14:39,604 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [29] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/secas_shipment.xml
2023-11-24 14:14:39,604 |kJoinPool-1-worker-7 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/secas.xml
2023-11-24 14:14:39,604 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/secas_test.xml
2023-11-24 14:14:39,604 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/secas.xml
2023-11-24 14:14:39,605 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [4] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/manufacturing/servicedef/secas.xml
2023-11-24 14:14:39,608 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [8] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_payment.xml
2023-11-24 14:14:39,610 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/commonext/servicedef/secas.xml
2023-11-24 14:14:39,611 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/assetmaint/servicedef/secas.xml
2023-11-24 14:14:39,611 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [6] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_invoice.xml
2023-11-24 14:14:39,614 |kJoinPool-1-worker-8 |ServiceEcaUtil                |I| Loaded [27] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas.xml
2023-11-24 14:14:39,614 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [10] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/marketing/servicedef/secas.xml
2023-11-24 14:14:39,614 |kJoinPool-1-worker-6 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_ledger.xml
2023-11-24 14:14:39,615 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [1] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/ebay/servicedef/secas.xml
2023-11-24 14:14:39,615 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/bi/servicedef/secas.xml
2023-11-24 14:14:39,618 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/example/servicedef/secas.xml
2023-11-24 14:14:39,618 |kJoinPool-1-worker-8 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/solr/servicedef/secas.xml
2023-11-24 14:14:39,619 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [9] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/scrum/servicedef/secas.xml
2023-11-24 14:14:39,621 |kJoinPool-1-worker-7 |ServiceEcaUtil                |I| Loaded [108] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/order/servicedef/secas.xml
2023-11-24 14:14:39,693 |OFBiz-JobPoller      |JobPoller                     |I| JobPoller thread started.
2023-11-24 14:14:39,694 |enerFactory@6650e3b8 |JmsListenerFactory            |I| Starting JMS Listener Factory Thread
2023-11-24 14:14:39,695 |enerFactory@6650e3b8 |JmsListenerFactory            |I| JMS Listener Factory Thread Finished; All listeners connected.
2023-11-24 14:14:39,734 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [13] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_geo.xml
2023-11-24 14:14:39,735 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_qrcode.xml
2023-11-24 14:14:39,735 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_cdyne.xml
2023-11-24 14:14:39,736 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_enum.xml
2023-11-24 14:14:39,734 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_method.xml
2023-11-24 14:14:39,756 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_telecom.xml
2023-11-24 14:14:39,760 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [17] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_security.xml
2023-11-24 14:14:39,760 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [34] Services from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/services.xml
2023-11-24 14:14:39,762 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [28] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_test.xml
2023-11-24 14:14:39,765 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [18] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_email.xml
2023-11-24 14:14:39,768 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [68] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services.xml
2023-11-24 14:14:39,771 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/framework/testtools/servicedef/services.xml
2023-11-24 14:14:39,771 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_synchronization.xml
2023-11-24 14:14:39,779 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_communication.xml
2023-11-24 14:14:39,782 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [10] Services from file:/D:/ofbiz/ofbiz-framework/framework/webtools/servicedef/services.xml
2023-11-24 14:14:39,784 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [128] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services.xml
2023-11-24 14:14:39,785 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [39] Services from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/services_test_se.xml
2023-11-24 14:14:39,790 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_group.xml
2023-11-24 14:14:39,792 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/services_tenant.xml
2023-11-24 14:14:39,793 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/securityext/servicedef/services.xml
2023-11-24 14:14:39,802 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [24] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_party.xml
2023-11-24 14:14:39,805 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [15] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_view.xml
2023-11-24 14:14:39,815 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_document.xml
2023-11-24 14:14:39,815 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [35] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_contenttypes.xml
2023-11-24 14:14:39,821 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [18] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_agreement.xml
2023-11-24 14:14:39,823 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [39] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_data.xml
2023-11-24 14:14:39,826 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_ftp.xml
2023-11-24 14:14:39,827 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [22] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services_contact.xml
2023-11-24 14:14:39,831 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_output.xml
2023-11-24 14:14:39,832 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [8] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_commevent.xml
2023-11-24 14:14:39,839 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [42] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_survey.xml
2023-11-24 14:14:39,861 |kJoinPool-1-worker-6 |ModelService                  |W| DEPRECATED: the service getPublicForumMessage has been deprecated and replaced by getContentAndDataResource, since Release 22.01
2023-11-24 14:14:39,873 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [19] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_website.xml
2023-11-24 14:14:39,875 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [36] Services from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/services_workeffort.xml
2023-11-24 14:14:39,879 |kJoinPool-1-worker-4 |ModelService                  |W| DEPRECATED: the service checkContentPermission has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-24 14:14:39,880 |kJoinPool-1-worker-4 |ModelService                  |W| DEPRECATED: the service checkAssocPermission has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-24 14:14:39,881 |kJoinPool-1-worker-4 |ModelService                  |W| DEPRECATED: the service assocContent has been deprecated and replaced by genericContentPermission, since Release 22.01
2023-11-24 14:14:39,892 |kJoinPool-1-worker-5 |ModelService                  |W| DEPRECATED: the service lookupParty has been deprecated and replaced by performFindParty, since Upcoming Branch because '
            use performFindParty to realize your search, the service lookupParty is inconsistent
            and need to replace by appropriate service
        '
2023-11-24 14:14:39,894 |kJoinPool-1-worker-6 |ModelService                  |W| DEPRECATED: the service resequence has been deprecated and replaced by resequenceContentAssocChildren, since release22.01
2023-11-24 14:14:39,908 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [36] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_feature.xml
2023-11-24 14:14:39,916 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [110] Services from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/services.xml
2023-11-24 14:14:39,916 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [175] Services from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/services.xml
2023-11-24 14:14:39,920 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [57] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services_content.xml
2023-11-24 14:14:39,925 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_inventory.xml
2023-11-24 14:14:39,934 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [20] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_maint.xml
2023-11-24 14:14:39,936 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [75] Services from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/services.xml
2023-11-24 14:14:39,936 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_migration.xml
2023-11-24 14:14:39,975 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [21] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipmentgateway.xml
2023-11-24 14:14:39,977 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_dhl.xml
2023-11-24 14:14:39,978 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [12] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_price.xml
2023-11-24 14:14:39,983 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [132] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_facility.xml
2023-11-24 14:14:39,985 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_fedex.xml
2023-11-24 14:14:39,986 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [9] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_ups.xml
2023-11-24 14:14:39,990 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [10] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_shipment_usps.xml
2023-11-24 14:14:39,997 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_perm.xml
2023-11-24 14:14:40,004 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [29] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_subscription.xml
2023-11-24 14:14:40,006 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_supplier.xml
2023-11-24 14:14:40,011 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [54] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_store.xml
2023-11-24 14:14:40,016 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_rental.xml
2023-11-24 14:14:40,020 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [75] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_pricepromo.xml
2023-11-24 14:14:40,023 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [13] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_view.xml
2023-11-24 14:14:40,029 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_upgrade.xml
2023-11-24 14:14:40,033 |kJoinPool-1-worker-2 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_uom.xml
2023-11-24 14:14:40,033 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_config.xml
2023-11-24 14:14:40,036 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/applications/manufacturing/servicedef/services.xml
2023-11-24 14:14:40,037 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [24] Services from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/services_cost.xml
